MMM;Conglomerates;Conglomerates
ACE;Financial;Property and Casualty Insurance
ABT;Healthcare;Drug Manufacturers - Major
ANF;Services;Apparel Stores
ACN;Technology;Information Technology Services
ADBE;Technology;Application Software
ADT;Services;Security and Protection Services
AMD;Technology;Semiconductor - Broad Line
AES;Utilities;Electric Utilities
AET;Healthcare;Health Care Plans
AFL;Financial;Accident and Health Insurance
A;Technology;Scientific and Technical Instruments
GAS;Utilities;Gas Utilities
APD;Basic Materials;Chemicals - Major Diversified
ARG;Services;Industrial Equipment Wholesale
AKAM;Technology;Internet Information Providers
AA;Basic Materials;Aluminum
ALXN;Healthcare;Biotechnology
ATI;Industrial Goods;Metal Fabrication
AGN;Healthcare;Drug Manufacturers - Other
ALL;Financial;Property and Casualty Insurance
ALTR;Technology;Semiconductor - Specialized
MO;Consumer Goods;Cigarettes
AMZN;Services;Catalog and Mail Order Houses
AEE;Utilities;Diversified Utilities
AEP;Utilities;Electric Utilities
AXP;Financial;Credit Services
AIG;Financial;Property and Casualty Insurance
AMT;Technology;Diversified Communication Services
AMP;Financial;Asset Management
ABC;Services;Drugs Wholesale
AMGN;Healthcare;Biotechnology
APH;Technology;Diversified Electronics
APC;Basic Materials;Independent Oil and Gas
ADI;Technology;Semiconductor - Integrated Circuits
AON;Financial;Insurance Brokers
APA;Basic Materials;Independent Oil and Gas
AIV;Financial;REIT - Residential
APOL;Services;Education and Training Services
AAPL;Technology;Personal Computers
AMAT;Technology;Semiconductor Equipment and Materials
ADM;Consumer Goods;Farm Products
AIZ;Financial;Accident and Health Insurance
T;Technology;Telecom Services - Domestic
ADSK;Technology;Technical and System Software
ADP;Technology;Business Software and Services
AN;Services;Auto Dealerships
AZO;Services;Auto Parts Stores
AVB;Financial;REIT - Residential
AVY;Industrial Goods;Diversified Machinery
AVP;Consumer Goods;Personal Products
BHI;Basic Materials;Oil and Gas Equipment and Services
BLL;Consumer Goods;Packaging and Containers
BAC;Financial;Money Center Banks
BK;Financial;Asset Management
